First Name,Last Name,Gender,Date of Birth,Country,City,Height,Email,Phone Number,Undergraduate College,Degree,Income,Current Company,Designation,Marital Status,Languages Known,Siblings,Religion,Caste,Want Kids,Open to Relocate,Open to Pets,Manglik Status (Indian Context),Horoscope Matching Required (Indian Context),Dietary Preference (Indian Context),Family Type (Indian Context)
Vihaan,Shah,Male,1993-12-04,India,Jaipur,6ft 3in,vihaan.shah21@gmail.com,+91 89349 65302,IIT Delhi,B.Tech Computer Science,₹110000,Microsoft India,Senior Consultant,Never Married,"English, Kannada, Hindi",1,Jainism,Shvetambar,Yes,No,Maybe,Anshik (Partial),Necessary,Non-Vegetarian,Joint Family
Megha,Agrawal,Female,1996-02-03,India,Pune,5ft 3in,megha.agrawal22@gmail.com,+91 81763 55082,XLRI Jamshedpur,BBA,₹8 LPA,EY,Technical Architect,Never Married,"English, Gujarati",2,Jainism,Shvetambar,Maybe,Yes,Maybe,No,Necessary,Non-Vegetarian,Joint Family
Rahal,Patel,Male,1998-11-27,India,Kolkata,5ft 6in,rahal.patel30@gmail.com,+91 82130 56566,Vellore Institute of Technology,BBA,₹10 LPA,Zomato,Financial Analyst,Never Married,"English, Bengali, Telugu",3,Sikhism,Khatri,Maybe,Maybe,Maybe,Yes,Not Important,Eggetarian,Nuclear Family
Vivaan,Patel,Male,1992-04-19,India,Kolkata,6ft 6in,vivaan.patel37@gmail.com,+91 91477 75435,Christ University,M.Sc Statistics,₹15 LPA,Flipkart,Business Analyst,Never Married,"English, Kannada",2,Jainism,Shvetambar,Maybe,No,No,Yes,Necessary,Jain Diet,Joint Family
Vikas,Singh,Male,2001-03-26,India,Pune,5ft 1in,vikas.singh86@gmail.com,+91 72081 60432,Christ University,Ph.D. Biotechnology,₹35 LPA,Tata Motors,Project Manager,Divorced,"English, Malayalam, Punjabi",0,Jainism,Shvetambar,Maybe,No,Yes,Anshik (Partial),Optional,Non-Vegetarian,Joint Family
Vivek,Agrawal,Male,1993-09-04,India,Chennai,6ft 8in,vivek.agrawal91@gmail.com,+91 86635 89818,Vellore Institute of Technology,B.Sc Physics,₹29 LPA,Google India,Technical Architect,Divorced,"English, Tamil, Odia",3,Hinduism,Kshatriya,No,No,Yes,No,Necessary,Jain Diet,Nuclear Family
Vivek,Agrawal,Male,1999-03-05,India,Ahmedabad,6ft 1in,vivek.agrawal80@gmail.com,+91 75410 44741,IIM Bangalore,Ph.D. Biotechnology,₹33 LPA,Microsoft India,Technical Architect,Never Married,"English, Telugu, Punjabi",2,Sikhism,Arora,Maybe,No,No,Don't Know,Necessary,Non-Vegetarian,Nuclear Family
Siddharth,Chatterjee,Male,1994-10-08,India,Mumbai,5ft 9in,siddharth.chatterjee19@gmail.com,+91 93194 92719,IIT Delhi,B.A. English,₹10 LPA,Infosys,HR Manager,Never Married,"English, Marathi, Telugu",3,Islam,Sunni,Maybe,Maybe,Maybe,Don't Know,Necessary,Vegan,Joint Family
Arjun,Rao,Male,1996-07-14,India,Ahmedabad,5ft 10in,arjun.rao16@gmail.com,+91 92064 95649,BITS Pilani,B.Tech Mechanical Engineering,₹31 LPA,HDFC Bank,Data Scientist,Never Married,"English, Kannada, Telugu",3,Islam,Shia,Yes,No,No,Yes,Necessary,Vegan,Nuclear Family
Sandip,Jain,Male,2003-04-06,India,Pune,5ft 1in,sandip.jain72@gmail.com,+91 85773 38016,Christ University,B.Tech Mechanical Engineering,₹16 LPA,Deloitte,Software Engineer,Awaiting Divorce,"English, Marathi, Urdu",3,Jainism,Shvetambar,Yes,Yes,No,Yes,Necessary,Jain Diet,Nuclear Family
Isha,Das,Female,1999-09-06,India,Mumbai,5ft 9in,isha.das75@gmail.com,+91 72625 34356,IIT Madras,Ph.D. Biotechnology,₹10 LPA,Amazon India,Systems Engineer,Never Married,"English, Telugu, Odia",0,Jainism,Digambar,No,Maybe,Maybe,Anshik (Partial),Optional,Non-Vegetarian,Joint Family
Dev,Tiwari,Male,2001-05-15,India,Kolkata,6ft 2in,dev.tiwari19@gmail.com,+91 70305 70068,XLRI Jamshedpur,C.A. (Chartered Accountant),₹12 LPA,Wipro,Technical Architect,Never Married,"English, Bengali, Marathi",2,Hinduism,Kayastha,No,No,Yes,Don't Know,Not Important,Eggetarian,Nuclear Family
Pallavi,Patel,Female,1992-02-24,India,Jaipur,5ft 2in,pallavi.patel29@gmail.com,+91 78924 46930,XLRI Jamshedpur,B.A. Economics,₹27 LPA,Microsoft India,Project Manager,Never Married,"English, Marathi, Hindi",0,Sikhism,Khatri,Yes,Yes,No,Yes,Not Important,Eggetarian,Nuclear Family
Sonam,Sharma,Female,1992-02-23,India,Bengaluru,5ft 8in,sonam.sharma79@gmail.com,+91 71180 58393,FMS Delhi,LL.B,₹150000,KPMG,Business Analyst,Never Married,"English, Hindi, Tamil",2,Islam,Sunni,Maybe,Yes,No,Don't Know,Not Important,Non-Vegetarian,Nuclear Family
Sai,Joshi,Male,2002-06-26,India,Pune,6ft 0in,sai.joshi95@gmail.com,+91 98313 42527,Jadavpur University,B.Sc Mathematics,₹120000 LPA,Deloitte,Senior Software Engineer,Never Married,"English, Telugu",3,Christianity,Syrian Christian,Yes,Yes,Yes,Yes,Optional,Eggetarian,Joint Family
Akash,Mishra,Male,1999-07-22,India,Jaipur,6ft 5in,akash.mishra52@gmail.com,+91 70904 25118,Jadavpur University,B.Sc Mathematics,₹43 LPA,Flipkart,Senior Software Engineer,Never Married,"English, Tamil, Gujarati",2,Sikhism,Arora,Maybe,Yes,No,Yes,Optional,Vegetarian,Joint Family
Vijay,Rao,Male,1992-11-11,India,Lucknow,5ft 5in,vijay.rao50@gmail.com,+91 91737 26334,St. Xavier's College,BDS,₹25 LPA,KPMG,HR Manager,Never Married,"English, Kannada, Marathi",1,Islam,Shia,Maybe,No,Maybe,Yes,Not Important,Jain Diet,Joint Family
Sonam,Reddy,Female,1994-07-26,India,Lucknow,5ft 4in,sonam.reddy87@gmail.com,+91 91453 52237,NMIMS,M.Sc Statistics,₹34 LPA,Microsoft India,UI/UX Designer,Never Married,"English, Bengali, Punjabi",0,Christianity,Protestant,Maybe,Maybe,Maybe,Anshik (Partial),Necessary,Non-Vegetarian,Joint Family
Aryan,Verma,Male,1994-08-20,India,Delhi,5ft 0in,aryan.verma68@gmail.com,+91 83580 92544,FMS Delhi,B.A. Economics,₹30 LPA,PwC,Systems Engineer,Never Married,"English, Malayalam, Punjabi",0,Hinduism,Baniya,Yes,Yes,Maybe,Don't Know,Necessary,Jain Diet,Nuclear Family
Gaurav,Tiwari,Male,1999-09-20,India,Kolkata,5ft 7in,gaurav.tiwari66@gmail.com,+91 90075 76162,Symbiosis International University,LL.B,₹34 LPA,Google India,Resident Medical Officer,Never Married,"English, Malayalam, Telugu",2,Jainism,Shvetambar,Maybe,Yes,No,Don't Know,Necessary,Eggetarian,Nuclear Family
Kriti,Gupta,Female,1993-03-08,India,Pune,5ft 8in,kriti.gupta98@gmail.com,+91 75007 38043,IIT Madras,MCA,₹32 LPA,HDFC Bank,Technical Architect,Never Married,"English, Hindi, Telugu",3,Sikhism,Arora,Maybe,Yes,Maybe,Don't Know,Optional,Vegetarian,Joint Family
Ritu,Chatterjee,Female,2002-12-18,India,Lucknow,5ft 6in,ritu.chatterjee38@gmail.com,+91 85998 38760,Jadavpur University,MCA,₹37 LPA,Tata Consultancy Services (TCS),Systems Engineer,Never Married,"English, Malayalam, Gujarati",1,Sikhism,Jat Sikh,Maybe,Maybe,Yes,Don't Know,Not Important,Jain Diet,Nuclear Family
Sandip,Goel,Male,1998-03-02,India,Chennai,6ft 2in,sandip.goel58@gmail.com,+91 80726 37742,NMIMS,MBA Finance,₹27 LPA,Deloitte,Project Manager,Never Married,"English, Marathi, Gujarati",0,Sikhism,Jat Sikh,Maybe,Maybe,Yes,Anshik (Partial),Necessary,Vegetarian,Nuclear Family
Rohan,Sen,Male,1993-04-05,India,Ahmedabad,5ft 0in,rohan.sen95@gmail.com,+91 73748 83920,Vellore Institute of Technology,M.Sc Statistics,₹22 LPA,ICICI Bank,Financial Analyst,Never Married,"English, Punjabi",0,Islam,Shia,Yes,Maybe,Yes,Anshik (Partial),Not Important,Vegan,Joint Family
Diya,Dubey,Male,2003-05-28,India,Lucknow,5ft 1in,diya.dubey25@gmail.com,+91 96090 84177,IIT Delhi,MBA Marketing,₹40 LPA,KPMG,Marketing Executive,Never Married,"English, Tamil, Malayalam",0,Sikhism,Khatri,Yes,No,No,Don't Know,Not Important,Non-Vegetarian,Joint Family
Vivek,Bansal,Male,1999-08-15,India,Pune,6ft 9in,vivek.bansal85@gmail.com,+91 78794 52245,Anna University,B.Tech Electrical Engineering,₹23 LPA,EY,Senior Consultant,Never Married,"English, Odia",3,Christianity,Roman Catholic,No,No,Yes,Don't Know,Necessary,Eggetarian,Joint Family
Megha,Sharma,Female,1999-04-03,India,Hyderabad,5ft 8in,megha.sharma62@gmail.com,+91 86009 82768,Anna University,MBBS,₹37 LPA,EY,Software Engineer,Never Married,"English, Telugu, Gujarati",1,Christianity,Protestant,Maybe,No,No,Anshik (Partial),Optional,Jain Diet,Joint Family
Komal,Reddy,Female,1995-04-04,India,Hyderabad,5ft 4in,komal.reddy50@gmail.com,+91 73917 80236,SRM University,B.A. Economics,₹19 LPA,PwC,Project Manager,Never Married,"English, Kannada, Odia",2,Hinduism,Kayastha,No,Yes,No,Yes,Optional,Vegetarian,Nuclear Family
Diya,Reddy,Female,2002-03-21,India,Ahmedabad,5ft 8in,diya.reddy23@gmail.com,+91 98597 11607,FMS Delhi,BCA,₹36 LPA,PwC,Chartered Accountant,Never Married,"English, Marathi, Hindi",3,Hinduism,Kshatriya,No,No,Yes,No,Necessary,Non-Vegetarian,Joint Family
Rohan,Agrawal,Male,1997-10-20,India,Lucknow,5ft 8in,rohan.agrawal38@gmail.com,+91 95417 78494,Christ University,M.Sc Statistics,₹34 LPA,Reliance Industries,Investment Banker,Awaiting Divorce,"English, Odia",0,Jainism,Digambar,Yes,Maybe,Yes,Anshik (Partial),Not Important,Vegetarian,Nuclear Family
Sai,Sharma,Male,1997-08-23,India,Lucknow,5ft 2in,sai.sharma70@gmail.com,+91 79543 14278,Anna University,BCA,₹24 LPA,EY,Product Manager,Never Married,"English, Marathi, Malayalam",1,Sikhism,Jat Sikh,Maybe,Yes,Maybe,Yes,Optional,Non-Vegetarian,Nuclear Family
Aditya,Pandey,Male,2000-05-15,India,Delhi,6ft 9in,aditya.pandey69@gmail.com,+91 92566 49857,Christ University,BBA,₹38 LPA,L&T,Resident Medical Officer,Never Married,"English, Hindi, Odia",3,Christianity,Protestant,No,Yes,Yes,Yes,Not Important,Jain Diet,Nuclear Family
Payal,Das,Female,1999-11-15,India,Chennai,5ft 2in,payal.das33@gmail.com,+91 89180 67132,IIM Ahmedabad,B.Tech Electrical Engineering,₹36 LPA,ICICI Bank,Operations Manager,Never Married,"English, Malayalam",1,Christianity,Syrian Christian,Maybe,No,No,Don't Know,Not Important,Vegetarian,Joint Family
Dhruv,Kumar,Male,2003-07-28,India,Jaipur,6ft 5in,dhruv.kumar10@gmail.com,+91 91550 81118,NMIMS,MCA,₹9 LPA,Microsoft India,UI/UX Designer,Never Married,"English, Malayalam, Urdu",3,Hinduism,Kayastha,No,Maybe,Yes,Anshik (Partial),Optional,Vegan,Nuclear Family
Deepak,Joshi,Male,1995-09-01,India,Jaipur,5ft 11in,deepak.joshi62@gmail.com,+91 73054 39451,BITS Pilani,M.Sc Statistics,₹13 LPA,Accenture,Resident Medical Officer,Awaiting Divorce,"English, Kannada, Punjabi",2,Sikhism,Khatri,No,Yes,No,Yes,Optional,Non-Vegetarian,Nuclear Family
Atharv,Jain,Male,2003-09-09,India,Mumbai,6ft 5in,atharv.jain46@gmail.com,+91 93791 49132,FMS Delhi,C.A. (Chartered Accountant),₹37 LPA,Accenture,Chartered Accountant,Never Married,"English, Tamil",3,Sikhism,Khatri,Yes,Maybe,Yes,Don't Know,Necessary,Vegan,Nuclear Family
Sakshi,Iyengar,Female,2001-11-05,India,Ahmedabad,5ft 6in,sakshi.iyengar14@gmail.com,+91 74136 75836,FMS Delhi,MBA Finance,₹12 LPA,EY,Data Scientist,Never Married,"English, Hindi, Urdu",1,Sikhism,Arora,Yes,Yes,No,Anshik (Partial),Optional,Jain Diet,Joint Family
